facility_id ,facility_category                                                                               ,facility_size      ,state                           ,city                                              ,phone       ,is_premium ,premium_since ,is_churn ,churn_since
         80 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,chiapas                         ,san cristobal de las casas                        ,0           ,         1 ,9/8/2020      ,0        ,na
        160 ,"consultorios del sector privado de audiologia y de terapia ocupacional, fisica y del lenguaje" ,0 a 5 personas     ,guanajuato                      ,leon                                              ,1772161292  ,         0 ,na            ,na       ,na
        240 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,morelos                         ,tepoztlan                                         ,0           ,         1 ,5/27/2020     ,1        ,9/30/2021
        320 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,queretaro                       ,queretaro                                         ,0           ,         0 ,na            ,na       ,na
        400 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,veracruz de ignacio de la llave ,xalapa                                            ,2261960106  ,         1 ,12/11/2021    ,0        ,na
        480 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,baja california                 ,mexicali                                          ,0           ,         1 ,11/10/2022    ,0        ,na
        560 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,coahuila de zaragoza            ,saltillo                                          ,6111117073  ,         0 ,na            ,na       ,na
        640 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,aguascalientes                  ,aguascalientes                                    ,1191269712  ,         1 ,7/6/2022      ,0        ,na
        720 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,ciudad de mexico                ,cuauhtemoc                                        ,0           ,         1 ,10/22/2020    ,0        ,na
        800 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,ciudad de mexico                ,iztapalapa                                        ,0           ,         1 ,2/11/2021     ,0        ,na
        880 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,hidalgo                         ,pachuca de soto                                   ,6009116666  ,         0 ,na            ,na       ,na
        960 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,queretaro                       ,queretaro                                         ,0           ,         1 ,9/19/2022     ,1        ,11/16/2022
       1040 ,laboratorios medicos y de diagnostico del sector privado                                        ,6 a 10 personas    ,nayarit                         ,tepic                                             ,3317373737  ,         0 ,na            ,na       ,na
       1120 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,queretaro                       ,queretaro                                         ,1127999909  ,         0 ,na            ,na       ,na
       1200 ,consultorios de optometria                                                                      ,0 a 5 personas     ,sinaloa                         ,culiacan                                          ,6677906996  ,         1 ,2/29/2020     ,0        ,na
       1280 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,tamaulipas                      ,reynosa                                           ,0           ,         0 ,na            ,na       ,na
       1360 ,clinicas de consultorios medicos del sector privado                                             ,0 a 5 personas     ,aguascalientes                  ,aguascalientes                                    ,1191109600  ,         1 ,4/7/2021      ,1        ,11/5/2022
       1440 ,consultorios de nutriologos y dietistas del sector privado                                      ,0 a 5 personas     ,aguascalientes                  ,aguascalientes                                    ,1191363197  ,         1 ,7/17/2021     ,1        ,9/11/2021
       1520 ,hospitales generales del sector privado                                                         ,0 a 5 personas     ,chiapas                         ,tuxtla gutierrez                                  ,9616029021  ,         1 ,5/1/2021      ,0        ,na
       1600 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,ciudad de mexico                ,gustavo a. madero                                 ,0           ,         1 ,3/5/2021      ,0        ,na
       1680 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,guanajuato                      ,celaya                                            ,1611992109  ,         0 ,na            ,na       ,na
       1760 ,consultorios dentales del sector privado                                                        ,6 a 10 personas    ,baja california                 ,mexicali                                          ,6661239116  ,         1 ,9/14/2021     ,1        ,2/7/2022
       1840 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,jalisco                         ,san pedro tlaquepaque                             ,0           ,         1 ,10/13/2021    ,1        ,10/18/2021
       1920 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,mexico                          ,tianguistenco                                     ,0           ,         1 ,8/2/2021      ,1        ,2/19/2022
       2000 ,consultorios de psicologia del sector privado                                                   ,0 a 5 personas     ,michoacan de ocampo             ,morelia                                           ,0           ,         0 ,na            ,na       ,na
       2080 ,consultorios de nutriologos y dietistas del sector privado                                      ,0 a 5 personas     ,morelos                         ,jonacatepec de leandro valle                      ,7392132719  ,         0 ,na            ,na       ,na
       2160 ,clinicas de consultorios medicos del sector privado                                             ,0 a 5 personas     ,nuevo leon                      ,monterrey                                         ,6163691111  ,         1 ,8/16/2021     ,1        ,8/18/2022
       2240 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,nuevo leon                      ,monterrey                                         ,6199199000  ,         0 ,na            ,na       ,na
       2320 ,clinicas de consultorios medicos del sector privado                                             ,0 a 5 personas     ,nuevo leon                      ,monterrey                                         ,6163166696  ,         1 ,5/21/2021     ,1        ,4/23/2022
       2400 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,nuevo leon                      ,monterrey                                         ,6119291929  ,         0 ,na            ,na       ,na
       2480 ,"consultorios del sector privado de audiologia y de terapia ocupacional, fisica y del lenguaje" ,0 a 5 personas     ,oaxaca                          ,salina cruz                                       ,0           ,         1 ,3/30/2020     ,0        ,na
       2560 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,queretaro                       ,queretaro                                         ,1122619171  ,         0 ,na            ,na       ,na
       2640 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,sinaloa                         ,el fuerte                                         ,0           ,         1 ,10/17/2021    ,1        ,6/18/2022
       2720 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,tabasco                         ,paraiso                                           ,0           ,         0 ,na            ,na       ,na
       2800 ,consultorios de quiropractica del sector privado                                                ,0 a 5 personas     ,tlaxcala                        ,tlaxcala                                          ,0           ,         1 ,10/28/2022    ,1        ,12/25/2022
       2880 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,veracruz de ignacio de la llave ,veracruz                                          ,0           ,         1 ,2/4/2021      ,0        ,na
       2960 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california                 ,tijuana                                           ,6611967692  ,         0 ,na            ,na       ,na
       3040 ,consultorios de nutriologos y dietistas del sector privado                                      ,0 a 5 personas     ,aguascalientes                  ,aguascalientes                                    ,1191930611  ,         0 ,na            ,na       ,na
       3120 ,consultorios de nutriologos y dietistas del sector privado                                      ,0 a 5 personas     ,aguascalientes                  ,aguascalientes                                    ,1199761126  ,         0 ,na            ,na       ,na
       3200 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,aguascalientes                  ,aguascalientes                                    ,1191902990  ,         0 ,na            ,na       ,na
       3280 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,aguascalientes                  ,jesus maria                                       ,1199719191  ,         1 ,2/2/2020      ,0        ,na
       3360 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california                 ,tijuana                                           ,6616671993  ,         1 ,1/2/2022      ,1        ,9/24/2022
       3440 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,aguascalientes                  ,aguascalientes                                    ,1193660119  ,         0 ,na            ,na       ,na
       3520 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,aguascalientes                  ,asientos                                          ,0           ,         1 ,5/19/2021     ,1        ,2/27/2022
       3600 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,aguascalientes                  ,rincon de romos                                   ,0           ,         1 ,1/7/2020      ,0        ,na
       3680 ,consultorios de nutriologos y dietistas del sector privado                                      ,0 a 5 personas     ,aguascalientes                  ,aguascalientes                                    ,1191167173  ,         0 ,na            ,na       ,na
       3760 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,aguascalientes                  ,aguascalientes                                    ,0           ,         0 ,na            ,na       ,na
       3840 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,baja california                 ,tijuana                                           ,6612390603  ,         1 ,3/10/2021     ,0        ,na
       3920 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california                 ,tijuana                                           ,0           ,         1 ,8/23/2021     ,1        ,6/8/2022
       4000 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,baja california                 ,tijuana                                           ,6616391600  ,         0 ,na            ,na       ,na
       4080 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california                 ,mexicali                                          ,0           ,         1 ,11/19/2022    ,0        ,na
       4160 ,consultorios de psicologia del sector privado                                                   ,6 a 10 personas    ,baja california                 ,tijuana                                           ,6613097161  ,         1 ,7/19/2020     ,1        ,1/2/2022
       4240 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california                 ,mexicali                                          ,6669997331  ,         0 ,na            ,na       ,na
       4320 ,consultorios de psicologia del sector privado                                                   ,0 a 5 personas     ,baja california                 ,ensenada                                          ,6161963170  ,         0 ,na            ,na       ,na
       4400 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california                 ,tijuana                                           ,0           ,         0 ,na            ,na       ,na
       4480 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,baja california                 ,tijuana                                           ,0           ,         0 ,na            ,na       ,na
       4560 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,baja california                 ,tijuana                                           ,0           ,         0 ,na            ,na       ,na
       4640 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,baja california                 ,san quintin                                       ,616936      ,         0 ,na            ,na       ,na
       4720 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california                 ,tecate                                            ,0           ,         1 ,7/12/2022     ,1        ,10/23/2022
       4800 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california                 ,tijuana                                           ,6616666121  ,         0 ,na            ,na       ,na
       4880 ,consultorios dentales del sector privado                                                        ,11 a 30 personas   ,baja california                 ,mexicali                                          ,0           ,         0 ,na            ,na       ,na
